"id","reviewer","details","submission"
"bay","Bayesian","Bayesian Inference","Bayesian Inference"
"che","Chem Phys","Chemometrics and Computational Physics","Chemometrics and Computational Physics"
"ctd","Clinical Trials","Clinical Trial Design Monitoring and Analysis","Clinical Trial Design Monitoring and Analysis"
"clu","Cluster","Cluster Analysis & Finite Mixture Models","Cluster Analysis & Finite Mixture Models"
"dbs","Databases","Databases with R","Databases with R"
"deq","Differential Equations","Differential Equations","Differential Equations"
"dis","Distributions","Probability Distributions","Distributions"
"eco","Econometrics","Econometrics","Econometrics"
"env","Environmetrics","Analysis of Ecological and Environmental Data","Ecological and Environmental analysis"
"doe","Experimental Design","Design of Experiments (DoE) & Analysis of Experimental Data","Design and Analysis of Experiments (DoE)"
"eva","Extreme Value","Extreme Value Analysis","Extreme Value Analysis"
"fin","Finance","Empirical Finance","Empirical Finance"
"fun","Functional Data","Functional Data Analysis","Functional Data Analysis"
"gen","Genetics","Statistical Genetics","Statistical Genetics"
"gmd","Graphics","Graphic Displays & Dynamic Graphics & Graphic Devices & Visualization","Graphical Models"
"gra","Graphics","Graphic Displays & Dynamic Graphics & Graphic Devices & Visualization","Graphics and Visualisation"
"grm","Graphical Models","Graphical Models","Graphical Models"
"hpc","High Performance Computing","High-Performance and Parallel Computing with R","High-Performance Computing"
"hyd","Hydrology","Hydrological Data and Modeling","Hydrological Data and Modeling"
"mll","Machine Learning","Machine Learning & Statistical Learning","Machine Learning & Statistical Learning"
"med","Medical Imaging","Medical Image Analysis","Medical Image Analysis"
"met","Meta Analysis","Meta-Analysis","Meta-Analysis"
"mis","Missing Data","Missing Data","Missing Data"
"mdd","Model Deployment","Model Deployment with R","Model Deployment"
"mvs","Multivariate","Multivariate Statistics","Multivariate Statistics"
"nlp","Natural Language Processing","Natural Language Processing","Natural Language Processing"
"num","Numerical Mathematics","Numerical Mathematics","Numerical Mathematics"
"off","Official Statistics","Official Statistics & Survey Methodology","Official Statistics & Survey Methodology"
"opt","Optimization","Optimization and Mathematical Programming","Optimization and Mathematical Programming"
"pha","Pharmacokinetics","Analysis of Pharmacokinetic Data","Pharmacokinetic Analysis"
"phy","Phylogenetics","Phylogenetics, Especially Comparative Methods","Phylogenetics"
"psy","Psychometrics","Psychometric Models and Methods","Psychometric Models and Methods"
"rpr","Reproducible Research","Reproducible Research","Reproducible Research"
"rob","Robust","Robust Statistical Methods","Robust Statistical Methods"
"soc","Social Sciences","Statistics for the Social Sciences","Social Sciences"
"spa","Spatial","Analysis of Spatial Data","Spatial Analysis"
"sta","Spatio Temporal","Handling and Analyzing Spatio-Temporal Data","Spatio-Temporal Analysis"
"usr","Survival","Survival Analysis","Survival Analysis"
"edu","Teaching Statistics","Teaching Statistics","Teaching Statistics"
"tsa","Time Series","Time Series Analysis","Time Series Analysis"
"trd","Tracking","Processing and Analysis of Tracking Data","Tracking Data"
"web","Web Technologies","Web Technologies and Services","Web Technologies and Services"
